,class,height,width,object_angle,distance
32,Pedestrian,88.41000000000003,163.21999999999997,-2.94,7.29
33,Cyclist,15.25,32.870000000000005,-1.83,36.96
34,Cyclist,24.91999999999996,54.46000000000001,-1.64,24.54
35,Pedestrian,43.49000000000001,124.11999999999998,-1.94,10.12
36,Pedestrian,23.729999999999905,47.56,2.67,25.06
37,Person_sitting,157.26999999999998,157.24,-2.7,5.52
38,Person_sitting,80.61000000000001,146.85999999999999,1.64,6.83
39,Person_sitting,59.77999999999997,88.63000000000002,-1.81,10.6
40,Person_sitting,62.92999999999995,88.56999999999996,-2.62,10.59
41,Person_sitting,57.93999999999994,75.55000000000001,1.08,11.69
42,Cyclist,30.720000000000027,174.23,2.34,3.57
43,Cyclist,77.93000000000006,86.88,1.09,14.95
44,Pedestrian,99.89999999999998,203.5,2.98,6.89
45,Pedestrian,75.1,191.63,-2.62,6.32
46,Pedestrian,66.72999999999999,198.21,0.8,6.54
47,Pedestrian,38.24000000000001,124.69999999999996,0.45,10.51
48,Cyclist,41.039999999999964,71.38000000000002,1.78,17.61
49,Cyclist,22.670000000000016,55.64999999999998,1.65,24.31
50,Pedestrian,13.789999999999964,37.81,-2.07,29.83
51,Pedestrian,13.950000000000045,39.97,-2.02,29.55
52,Pedestrian,91.67000000000007,239.29000000000002,1.21,6.19
53,Pedestrian,82.66999999999996,206.62999999999997,1.07,6.18
54,Pedestrian,70.67000000000007,150.95,0.72,7.84
55,Pedestrian,238.83000000000004,186.43,2.39,4.83
56,Pedestrian,58.93999999999994,131.78000000000003,-1.35,9.12
57,Pedestrian,51.72,169.75,0.66,7.41
58,Cyclist,76.80000000000001,121.58000000000001,1.68,10.79
59,Pedestrian,30.5,97.31,-1.9,13.53
60,Pedestrian,24.16999999999996,73.86000000000001,-1.53,17.75
61,Pedestrian,24.99000000000001,64.88,2.63,19.66
62,Pedestrian,17.0,58.95999999999998,1.66,22.65
63,Pedestrian,20.600000000000023,64.32000000000002,1.43,21.58
64,Cyclist,27.769999999999982,79.62,-1.54,17.42
65,Pedestrian,54.960000000000036,126.07999999999998,0.9,9.37
66,Pedestrian,9.0,25.319999999999993,-0.28,49.54
67,Cyclist,44.65999999999997,71.69,-1.89,18.2
68,Cyclist,25.920000000000073,76.65,-1.58,18.06
69,Pedestrian,41.0,103.59000000000003,0.84,11.35
70,Pedestrian,67.33999999999992,138.54,2.81,9.15
71,Cyclist,252.14999999999998,275.13,-2.18,5.09
72,Cyclist,70.37,99.07000000000002,-1.96,14.29
73,Pedestrian,65.01999999999998,147.7,2.75,8.71
74,Cyclist,131.37,93.57000000000002,2.78,13.46
75,Pedestrian,25.339999999999975,89.89000000000001,0.08,15.37
76,Pedestrian,22.840000000000032,43.06999999999999,2.67,27.59
77,Person_sitting,102.87,118.14000000000001,-2.56,7.91
78,Person_sitting,61.72000000000003,105.85999999999999,1.7,9.22
79,Person_sitting,46.81000000000006,71.47999999999996,-1.77,13.0
80,Person_sitting,47.210000000000036,62.079999999999984,1.12,14.05
81,Cyclist,79.62,106.53,-1.97,12.96
82,Cyclist,45.05000000000007,70.54000000000002,-1.9,19.68
83,Cyclist,22.289999999999964,21.629999999999995,0.0,57.89
84,Pedestrian,8.329999999999927,21.930000000000007,3.12,58.96
85,Pedestrian,10.329999999999984,23.909999999999997,0.25,57.47
86,Pedestrian,15.0,44.03,0.16,28.64
87,Cyclist,67.44999999999993,52.599999999999994,3.12,22.66
88,Pedestrian,94.34000000000003,164.47,-0.31,8.43
89,Cyclist,111.25999999999999,84.13,-0.32,15.18
90,Cyclist,76.40999999999997,65.57999999999998,-0.5,20.63
91,Pedestrian,32.25999999999999,67.68,0.14,19.57
92,Cyclist,44.39999999999998,40.28999999999999,-0.55,30.76
93,Pedestrian,24.650000000000034,76.69999999999999,0.26,17.02
94,Cyclist,28.790000000000077,45.81999999999999,-1.41,27.53
95,Pedestrian,32.829999999999984,57.639999999999986,0.65,21.48
96,Pedestrian,30.129999999999995,55.74000000000001,0.64,20.91
97,Cyclist,81.63,73.1,-0.19,17.25
98,Pedestrian,28.29000000000002,57.83000000000001,-2.72,20.03
99,Pedestrian,31.939999999999998,71.53,-3.01,18.32
100,Pedestrian,20.239999999999952,71.56,-2.78,19.63
101,Pedestrian,41.700000000000045,239.48999999999995,-2.28,5.12
102,Cyclist,211.97,208.45,2.11,5.5
103,Pedestrian,16.329999999999927,39.129999999999995,0.63,35.54
104,Pedestrian,14.329999999999927,37.72,0.63,36.22
105,Pedestrian,10.339999999999918,24.859999999999985,-0.04,52.31
106,Pedestrian,37.33000000000004,87.69,0.44,16.13
107,Pedestrian,46.60000000000002,81.53,0.44,17.01
108,Pedestrian,14.329999999999927,35.620000000000005,-0.36,36.63
109,Pedestrian,21.670000000000016,56.879999999999995,1.92,19.92
110,Pedestrian,16.33000000000004,43.75,-1.4,29.96
111,Pedestrian,10.669999999999959,31.920000000000016,-1.33,39.8
112,Pedestrian,12.0,33.900000000000006,-1.44,40.79
113,Pedestrian,11.670000000000016,36.27000000000001,-1.24,39.75
114,Pedestrian,33.670000000000016,89.49000000000001,-2.1,13.51
115,Pedestrian,52.339999999999975,98.43,-2.38,13.93
116,Cyclist,107.53999999999996,117.19999999999999,-2.2,11.91
117,Cyclist,145.37,184.39999999999998,2.08,7.77
118,Pedestrian,15.329999999999984,39.50999999999999,1.78,34.28
119,Pedestrian,11.0,43.890000000000015,-2.68,30.93
120,Pedestrian,20.0,36.49000000000001,2.62,35.46
121,Pedestrian,14.0,48.81999999999999,2.67,26.75
122,Pedestrian,21.340000000000032,74.28,-1.52,18.02
123,Pedestrian,23.800000000000068,70.14999999999998,-1.79,19.09
124,Cyclist,34.02000000000004,45.69,1.96,28.16
125,Cyclist,37.870000000000005,69.68,-1.6,18.42
126,Pedestrian,9.700000000000045,95.68,-0.95,12.71
127,Pedestrian,5.539999999999964,283.06,1.08,2.71
128,Pedestrian,15.329999999999927,49.24000000000001,2.03,26.47
129,Pedestrian,18.659999999999968,48.56,1.94,26.28
130,Pedestrian,29.289999999999964,84.28999999999999,0.33,15.13
131,Cyclist,130.3499999999999,127.57999999999998,2.88,9.53
132,Pedestrian,67.78999999999996,179.70999999999998,2.6,7.54
133,Cyclist,63.09,178.84,1.78,8.23
134,Cyclist,11.230000000000018,26.859999999999985,-1.78,45.05
135,Cyclist,12.159999999999968,28.53,-1.79,42.46
136,Pedestrian,58.99000000000001,116.90999999999997,-2.05,10.98
137,Cyclist,28.110000000000014,54.91,-1.68,26.02
138,Cyclist,10.75,32.48000000000002,-1.6,40.95
139,Cyclist,8.129999999999995,20.960000000000008,1.59,55.85
140,Cyclist,163.39999999999998,170.14000000000001,2.16,8.49
141,Cyclist,44.47000000000003,54.620000000000005,-1.0,24.91
142,Pedestrian,34.879999999999995,83.1,2.56,14.83
143,Pedestrian,29.529999999999973,71.34,-1.99,17.6
144,Person_sitting,52.110000000000014,51.25,2.82,19.23
145,Person_sitting,52.66000000000008,45.06999999999999,2.86,20.71
146,Pedestrian,17.670000000000016,50.16999999999999,2.06,23.51
147,Pedestrian,19.00999999999999,41.420000000000016,1.0,29.95
148,Pedestrian,38.66999999999999,83.10999999999999,2.06,16.67
149,Pedestrian,46.379999999999995,116.4,1.11,10.61
150,Pedestrian,29.090000000000032,95.97999999999999,1.43,14.81
151,Pedestrian,31.440000000000055,82.54999999999998,1.27,14.98
152,Pedestrian,24.350000000000023,75.56,1.22,15.27
153,Cyclist,39.639999999999986,48.26999999999998,2.33,26.3
154,Pedestrian,132.3800000000001,244.3,-2.29,4.33
155,Pedestrian,44.23000000000002,102.85,-1.78,11.82
156,Pedestrian,106.74,183.35,-2.52,7.36
157,Pedestrian,13.0,36.76999999999998,1.04,34.56
158,Pedestrian,45.77999999999997,107.54999999999998,1.09,12.08
159,Cyclist,15.399999999999977,32.69,-1.63,43.06
160,Pedestrian,75.41999999999996,158.48000000000002,2.8,7.49
161,Pedestrian,48.64999999999998,162.04,2.71,7.5
162,Cyclist,34.410000000000025,72.66999999999999,1.72,18.42
163,Pedestrian,11.359999999999957,27.399999999999977,1.61,47.98
164,Pedestrian,7.720000000000027,27.47,1.68,47.83
165,Cyclist,31.390000000000043,62.94999999999999,1.67,20.5
166,Cyclist,47.06000000000006,81.61000000000001,-1.81,17.48
167,Pedestrian,44.0,89.80999999999997,-2.56,15.03
168,Pedestrian,28.66999999999996,85.19,-2.58,15.68
169,Pedestrian,11.459999999999923,32.73000000000002,1.4,38.94
170,Pedestrian,24.670000000000016,65.22999999999999,-1.63,21.55
171,Pedestrian,86.32999999999993,177.01,2.82,7.63
172,Cyclist,45.30000000000001,81.99000000000001,1.78,17.37
173,Cyclist,35.55000000000001,75.01000000000002,1.68,17.88
174,Cyclist,20.370000000000005,41.77000000000001,1.69,31.79
175,Cyclist,117.32999999999993,119.69,-2.18,11.91
176,Cyclist,61.34999999999991,80.46000000000001,-2.0,15.43
177,Cyclist,20.16999999999996,59.45000000000002,-1.53,20.6
178,Cyclist,193.67999999999995,233.4,0.99,6.26
179,Cyclist,189.45000000000005,199.99,-2.22,7.33
180,Pedestrian,34.66000000000008,135.6,2.76,8.92
181,Person_sitting,19.65000000000009,31.74000000000001,-3.03,24.66
182,Pedestrian,22.25999999999999,70.89000000000001,-1.76,17.06
183,Cyclist,41.18999999999994,59.47999999999999,-2.01,22.46
184,Cyclist,18.360000000000014,47.099999999999994,-1.59,27.39
185,Pedestrian,71.34000000000003,139.23999999999998,2.76,8.92
186,Pedestrian,76.0,175.19,0.1,6.62
187,Cyclist,116.21000000000004,98.47999999999999,3.02,11.79
188,Cyclist,128.26,116.00999999999996,-3.12,10.24
189,Pedestrian,43.52999999999997,121.32000000000002,-1.52,10.71
190,Pedestrian,16.0,46.03,2.68,28.36
191,Cyclist,119.78999999999996,167.61999999999998,-1.87,9.18
192,Cyclist,23.889999999999986,56.890000000000015,-1.69,23.74
193,Pedestrian,17.559999999999945,42.849999999999994,-1.82,29.1
194,Pedestrian,14.719999999999914,42.83000000000001,-1.84,29.11
195,Cyclist,11.379999999999995,30.439999999999998,-1.67,39.66
196,Cyclist,106.48000000000002,162.23999999999998,1.92,8.75
197,Pedestrian,12.660000000000025,32.610000000000014,1.61,40.36
198,Pedestrian,12.139999999999986,32.72,1.69,40.19
199,Cyclist,76.03999999999996,121.13,1.8,11.14
200,Cyclist,50.02999999999999,52.50999999999999,-1.02,25.42
201,Cyclist,21.190000000000055,37.28,-1.94,32.69
202,Pedestrian,20.189999999999998,46.73000000000002,-2.96,29.23
203,Cyclist,200.53999999999996,140.78000000000003,2.48,9.28
204,Pedestrian,35.339999999999975,124.28999999999999,0.15,11.22
205,Pedestrian,19.339999999999918,48.26999999999998,-0.88,25.02
206,Pedestrian,11.449999999999932,44.940000000000026,2.68,29.28
207,Pedestrian,6.07000000000005,31.909999999999997,2.25,40.94
208,Cyclist,71.29000000000008,123.97999999999996,-1.28,11.35
209,Pedestrian,24.870000000000005,85.59,2.92,15.92
210,Person_sitting,69.79999999999995,98.57999999999998,1.07,8.74
211,Person_sitting,72.58999999999992,90.22999999999999,0.99,8.85
212,Pedestrian,56.819999999999936,141.2,1.59,9.87
213,Pedestrian,33.91000000000008,93.64000000000001,-0.68,13.54
214,Pedestrian,28.49000000000001,83.00999999999999,1.29,14.94
215,Pedestrian,29.120000000000005,71.76999999999998,-1.18,17.64
216,Pedestrian,30.769999999999982,70.9,0.28,18.71
217,Pedestrian,38.33000000000004,106.44,-1.88,12.69
218,Pedestrian,44.84999999999991,104.01999999999998,1.75,12.54
219,Pedestrian,33.809999999999945,76.38,1.68,14.86
220,Pedestrian,62.02999999999997,151.18,2.09,8.71
221,Pedestrian,75.33000000000004,208.60999999999999,-1.42,6.44
222,Pedestrian,11.670000000000016,30.079999999999984,1.91,38.91
223,Pedestrian,111.66000000000001,183.59,0.51,7.4
224,Cyclist,90.63999999999999,164.79,-1.93,9.53
225,Pedestrian,47.0,162.42,2.78,9.03
226,Pedestrian,31.480000000000018,72.91,-1.08,16.74
227,Pedestrian,25.149999999999977,56.16,1.92,19.65
228,Pedestrian,21.12000000000012,70.94,2.49,18.64
229,Pedestrian,12.75,43.52000000000001,2.28,30.09
230,Cyclist,14.019999999999982,31.069999999999993,-1.82,39.05
231,Cyclist,19.450000000000045,24.859999999999985,2.07,48.64
232,Cyclist,14.059999999999945,32.29999999999998,-1.67,42.62
233,Cyclist,25.58000000000004,24.659999999999997,-0.04,50.82
234,Pedestrian,15.0,24.889999999999986,-3.1,51.97
235,Pedestrian,12.340000000000032,27.19999999999999,0.26,50.54
236,Cyclist,56.660000000000025,100.13,-1.69,13.54
237,Pedestrian,20.78000000000003,84.72,-1.3,15.85
238,Pedestrian,11.639999999999986,69.69,-1.33,18.98
239,Pedestrian,15.370000000000005,71.07,-1.34,18.35
240,Pedestrian,13.0,37.75999999999999,-2.23,32.5
241,Pedestrian,29.950000000000045,87.13,-1.83,15.43
242,Cyclist,50.92999999999995,90.11000000000001,-1.34,15.19
243,Cyclist,248.32999999999998,196.19,2.2,4.58
244,Cyclist,42.34999999999991,77.91000000000003,1.8,16.55
245,Pedestrian,15.670000000000016,49.47999999999999,1.42,28.44
246,Pedestrian,16.66999999999996,42.78,-1.94,27.9
247,Cyclist,34.59000000000003,38.56,-0.82,34.9
248,Pedestrian,16.0,45.70999999999998,2.85,29.22
249,Pedestrian,18.339999999999975,38.59,2.7,30.29
250,Pedestrian,13.330000000000041,39.620000000000005,-0.1,32.13
251,Pedestrian,23.0,40.119999999999976,3.02,31.79
252,Cyclist,25.029999999999973,62.49000000000001,-1.58,21.49
253,Pedestrian,110.78000000000009,166.15999999999997,-3.12,7.45
254,Cyclist,45.94999999999993,60.94,-2.12,20.46
255,Pedestrian,83.33000000000004,158.45,2.84,8.67
256,Cyclist,15.230000000000018,22.850000000000023,1.89,52.84
257,Pedestrian,34.039999999999964,92.30000000000001,-1.96,12.75
258,Pedestrian,15.669999999999959,43.08000000000001,1.43,27.94
259,Cyclist,21.480000000000018,50.69,-1.62,25.54
260,Pedestrian,55.00999999999999,144.33999999999997,-1.67,9.31
261,Pedestrian,42.71999999999997,120.06,2.93,11.24
262,Pedestrian,37.04000000000002,115.37,1.68,11.42
263,Pedestrian,44.90000000000009,123.76999999999998,1.15,10.19
264,Pedestrian,53.02999999999997,121.53999999999999,1.32,10.69
265,Pedestrian,27.529999999999973,74.61999999999998,-1.71,18.75
266,Pedestrian,57.879999999999995,126.21999999999997,-1.7,10.06
267,Pedestrian,36.549999999999955,109.22,-1.72,11.72
268,Pedestrian,36.25,97.57999999999998,-1.68,13.14
269,Pedestrian,53.65999999999997,95.79999999999998,-1.76,14.0
270,Pedestrian,29.339999999999918,78.57,-1.84,17.28
271,Cyclist,37.960000000000036,70.03999999999999,-1.6,18.33
272,Cyclist,22.25999999999999,67.52999999999997,1.61,20.01
273,Pedestrian,63.98000000000002,202.79,-1.85,6.59
274,Pedestrian,98.26999999999998,214.5,-1.97,6.56
275,Pedestrian,71.87,187.96000000000004,-1.45,7.42
276,Pedestrian,38.889999999999986,98.55000000000001,-2.91,13.57
277,Pedestrian,29.829999999999927,78.47999999999999,-1.85,16.48
278,Pedestrian,59.58000000000004,120.99000000000001,3.0,10.65
279,Pedestrian,65.15999999999985,127.23000000000002,2.69,10.51
280,Pedestrian,37.870000000000005,98.57,1.95,13.05
281,Pedestrian,20.850000000000023,55.640000000000015,1.82,22.43
282,Pedestrian,21.019999999999982,56.44999999999999,1.8,22.82
283,Pedestrian,66.67000000000002,142.37000000000003,-2.78,8.98
284,Cyclist,49.870000000000005,101.06,-1.61,13.38
285,Pedestrian,133.41000000000008,163.22,0.93,7.95
286,Person_sitting,66.32,104.93999999999997,-1.35,9.57
287,Person_sitting,69.0,103.09000000000003,-1.29,9.58
288,Person_sitting,52.97000000000003,91.4,1.85,10.59
289,Person_sitting,40.629999999999995,76.59000000000003,1.79,12.66
290,Pedestrian,47.329999999999984,139.9,-1.33,9.73
291,Pedestrian,57.53,128.74,2.04,10.41
292,Pedestrian,56.23000000000002,128.28000000000003,-1.48,9.42
293,Pedestrian,180.27999999999997,252.17000000000002,0.96,5.32
294,Pedestrian,83.42000000000007,239.57,0.81,5.36
295,Pedestrian,222.51,212.96,1.94,3.73
296,Cyclist,33.599999999999994,43.09,2.2,31.12
297,Cyclist,29.50999999999999,56.78999999999999,-1.76,24.68
298,Pedestrian,16.6099999999999,47.31,-1.73,28.15
299,Cyclist,9.289999999999964,28.340000000000003,1.6,46.87
300,Cyclist,27.830000000000013,32.420000000000016,2.13,40.54
301,Cyclist,7.67999999999995,18.579999999999984,1.64,73.14
302,Cyclist,7.3700000000000045,17.590000000000003,1.61,73.24
303,Pedestrian,39.16999999999996,89.65,1.78,14.48
304,Pedestrian,30.279999999999973,64.77000000000001,1.71,17.49
305,Person_sitting,61.84999999999991,144.52,-2.25,6.58
306,Pedestrian,107.34000000000003,171.61999999999998,0.16,7.24
307,Cyclist,27.58000000000004,26.410000000000025,-0.06,47.48
308,Cyclist,26.68999999999994,26.819999999999993,-0.09,50.02
309,Pedestrian,15.240000000000009,26.650000000000006,-3.02,48.53
310,Pedestrian,14.720000000000027,29.200000000000017,0.28,47.06
311,Pedestrian,84.66999999999996,160.92999999999998,2.63,7.87
312,Pedestrian,57.66999999999996,193.6,-2.07,7.13
313,Cyclist,34.24000000000001,38.16,-2.43,33.22
314,Cyclist,11.259999999999991,27.28,-1.7,47.06
315,Pedestrian,36.33999999999992,87.13,1.05,15.11
316,Cyclist,55.639999999999986,43.120000000000005,2.97,28.79
317,Pedestrian,12.330000000000041,44.56,-0.02,30.66
318,Pedestrian,38.32999999999993,121.85000000000002,-1.48,10.4
319,Cyclist,19.21999999999997,46.0,1.55,26.66
320,Pedestrian,66.65999999999997,123.25,-0.1,10.9
321,Cyclist,51.5,51.45999999999998,-0.8,24.09
322,Pedestrian,86.13,128.82999999999998,0.21,9.97
323,Pedestrian,66.0,147.04,0.2,9.02
324,Cyclist,33.51999999999998,64.66,-1.55,19.78
325,Pedestrian,22.5,93.69999999999999,0.75,13.33
326,Pedestrian,35.67,91.09999999999997,0.74,12.9
327,Cyclist,115.05000000000001,111.31,-0.14,11.43
328,Pedestrian,38.42,117.48000000000002,-2.33,12.05
329,Pedestrian,81.32999999999993,175.07,0.21,7.71
330,Pedestrian,83.99999999999989,152.05999999999997,0.22,8.13
331,Pedestrian,56.33000000000004,125.88999999999999,0.85,10.75
332,Pedestrian,36.24000000000001,69.96000000000001,1.54,19.77
333,Pedestrian,19.66999999999996,68.72,1.48,20.04
334,Pedestrian,41.24000000000001,71.68,1.71,19.33
335,Pedestrian,35.0,90.31,1.42,15.48
336,Pedestrian,42.65999999999997,80.65,1.15,16.22
337,Pedestrian,31.330000000000013,81.96000000000001,1.43,16.55
338,Pedestrian,29.329999999999984,80.04000000000002,1.36,16.93
339,Pedestrian,27.0,71.78,1.29,17.4
340,Pedestrian,26.0,72.57,1.71,18.6
341,Pedestrian,43.33000000000001,114.04999999999998,-2.96,12.0
342,Pedestrian,24.659999999999997,76.29999999999998,2.19,17.36
343,Pedestrian,79.64999999999998,166.95000000000002,-2.84,7.41
344,Pedestrian,60.48000000000002,187.67,-1.01,7.26
345,Pedestrian,35.079999999999984,135.53,-1.1,9.84
346,Pedestrian,30.430000000000035,138.31,-1.13,9.53
347,Pedestrian,68.22000000000003,153.07,0.4,8.31
348,Cyclist,17.67999999999995,54.17999999999998,1.6,24.8
349,Cyclist,27.129999999999995,35.44999999999999,-1.17,37.21
350,Pedestrian,28.329999999999927,74.63,0.49,18.87
351,Pedestrian,23.66999999999996,70.14000000000001,0.53,19.7
352,Pedestrian,14.659999999999968,33.72999999999999,-0.3,38.63
353,Pedestrian,18.0,49.349999999999994,1.88,22.86
354,Pedestrian,96.34000000000002,210.81,-2.02,6.12
355,Pedestrian,75.0,202.54,-1.57,6.12
356,Cyclist,69.32,125.58000000000001,1.7,11.31
357,Pedestrian,31.66999999999996,76.88,0.92,17.48
358,Pedestrian,14.339999999999975,47.92999999999998,-1.54,26.51
359,Pedestrian,18.670000000000073,49.77000000000001,-1.57,26.72
360,Pedestrian,22.0,54.849999999999994,-1.5,23.93
361,Pedestrian,47.0,114.85999999999999,-2.52,11.64
362,Cyclist,120.4,197.3,1.94,6.26
363,Pedestrian,23.0,80.67000000000002,1.98,16.31
364,Pedestrian,34.66999999999996,80.5,1.92,16.01
365,Pedestrian,16.0,43.17999999999998,1.79,27.74
366,Cyclist,33.89999999999998,57.31999999999999,-1.81,23.31
367,Pedestrian,36.339999999999975,116.47,-1.2,11.58
368,Pedestrian,19.200000000000045,90.91,-1.25,14.59
369,Pedestrian,22.939999999999998,93.32999999999998,-1.26,14.03
370,Pedestrian,29.519999999999982,55.74000000000001,1.42,25.96
371,Pedestrian,71.0,161.67,-1.95,7.2
372,Cyclist,21.649999999999977,30.659999999999997,1.86,42.99
373,Cyclist,29.799999999999955,28.480000000000018,-0.06,44.04
374,Cyclist,28.440000000000055,28.629999999999995,-0.08,46.85
375,Cyclist,24.670000000000016,35.05000000000001,-1.25,35.37
376,Pedestrian,11.669999999999959,28.79000000000002,-2.94,44.91
377,Pedestrian,15.329999999999984,31.53,0.32,43.57
378,Cyclist,11.490000000000009,27.20999999999998,-1.79,44.48
379,Cyclist,37.940000000000055,69.99000000000001,-1.6,18.35
380,Pedestrian,43.829999999999984,99.84,1.95,12.64
381,Cyclist,37.83000000000004,93.31,-1.67,14.61
382,Cyclist,14.970000000000027,33.140000000000015,1.67,37.95
383,Pedestrian,19.139999999999986,58.21000000000001,-1.72,22.57
384,Cyclist,78.58000000000001,79.36000000000001,2.19,16.47
385,Pedestrian,18.370000000000005,42.29000000000002,-0.63,28.5
386,Pedestrian,15.21,70.93,2.81,18.55
387,Pedestrian,9.449999999999932,39.46000000000001,2.74,33.32
388,Pedestrian,6.919999999999959,29.069999999999993,2.34,44.92
389,Cyclist,18.140000000000043,35.03,1.43,34.8
390,Pedestrian,38.329999999999984,95.33000000000001,-3.0,13.99
391,Pedestrian,27.670000000000016,75.88,0.63,17.31
392,Pedestrian,24.659999999999968,77.18,1.02,17.98
393,Cyclist,55.08000000000004,51.610000000000014,-2.85,25.28
394,Pedestrian,64.37,149.49,0.38,8.57
395,Cyclist,32.73,52.21000000000001,2.27,21.86
396,Pedestrian,19.829999999999927,57.26999999999998,-2.65,22.14
397,Pedestrian,50.140000000000015,119.08999999999997,0.71,11.79
398,Pedestrian,28.360000000000014,67.92999999999998,-2.32,20.19
399,Pedestrian,248.36,212.3,0.53,2.05
400,Pedestrian,208.52999999999997,286.37,0.59,2.53
401,Pedestrian,104.1400000000001,178.04,0.5,3.01
402,Pedestrian,39.57999999999993,218.6,0.38,3.18
403,Pedestrian,197.56000000000006,201.44,0.24,3.59
404,Pedestrian,83.21000000000004,208.06000000000003,1.25,6.56
405,Pedestrian,71.50999999999999,187.04,1.0,6.85
406,Pedestrian,78.71000000000004,200.35,0.99,6.98
407,Pedestrian,82.25,189.27,0.88,7.07
408,Cyclist,40.31,62.56999999999999,1.88,22.03
409,Pedestrian,8.330000000000041,22.890000000000015,-0.38,55.77
410,Pedestrian,63.32999999999993,205.14,2.64,6.52
411,Pedestrian,56.33,137.98000000000002,0.68,9.16
412,Cyclist,16.340000000000032,38.5,-1.71,33.56
413,Pedestrian,11.0,35.04999999999998,-1.7,37.86
414,Pedestrian,16.17999999999995,55.639999999999986,-1.76,25.93
415,Pedestrian,17.899999999999977,55.42999999999998,-1.79,25.69
416,Pedestrian,59.59000000000003,143.42,-1.51,8.49
417,Pedestrian,19.029999999999973,255.53,0.84,3.83
418,Pedestrian,18.970000000000027,58.860000000000014,-2.8,19.79
419,Pedestrian,55.66000000000008,140.07,-1.96,8.77
420,Cyclist,37.950000000000045,69.97999999999999,-1.6,18.35
421,Pedestrian,23.0,67.27000000000001,-1.59,18.97
422,Pedestrian,24.66999999999996,70.06,-1.61,19.09
423,Pedestrian,26.660000000000025,72.07999999999998,-1.43,18.31
424,Pedestrian,48.789999999999964,142.67,-1.57,9.8
425,Pedestrian,10.660000000000025,24.619999999999976,1.75,55.56
426,Cyclist,103.91000000000008,180.30999999999997,-1.97,8.79
427,Pedestrian,19.450000000000045,45.22999999999999,-0.77,26.66
428,Pedestrian,8.780000000000086,42.109999999999985,2.71,31.23
429,Pedestrian,6.32000000000005,30.47999999999999,2.34,42.85
430,Cyclist,36.489999999999895,86.85000000000002,-1.69,15.64
431,Cyclist,25.5,49.54000000000002,1.75,25.65
432,Pedestrian,20.0,69.09,-1.75,19.09
433,Pedestrian,53.66999999999996,146.21,0.38,8.85
434,Cyclist,40.91000000000008,68.47,-1.86,19.02
435,Pedestrian,58.210000000000036,178.27,2.7,7.84
436,Pedestrian,55.45,118.69,-0.96,10.88
437,Pedestrian,50.72,130.69000000000003,0.59,10.3
438,Person_sitting,90.56000000000006,90.13999999999999,2.76,10.76
439,Person_sitting,60.28,57.91,0.71,14.56
440,Cyclist,40.089999999999975,69.55000000000001,1.89,19.83
441,Pedestrian,55.56000000000006,141.17,1.08,9.98
442,Cyclist,41.879999999999995,43.06999999999999,-0.74,31.25
443,Cyclist,31.399999999999977,64.48000000000002,1.7,18.73
444,Pedestrian,59.66999999999996,146.10000000000002,-0.12,8.73
445,Pedestrian,26.829999999999927,65.77000000000001,-0.93,18.49
446,Pedestrian,23.100000000000023,49.06999999999999,1.93,22.39
447,Pedestrian,20.779999999999973,63.50999999999999,2.53,20.8
448,Pedestrian,8.86999999999989,40.53999999999999,2.23,32.29
449,Cyclist,20.029999999999973,49.129999999999995,-1.59,27.09
450,Cyclist,31.889999999999986,52.21000000000001,-1.89,26.13
